,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sokol,59.4617,40.1206,25.11,92,91,15.05,RU,1648339856
1,Bluff,-46.6,168.3333,58.62,73,59,2.06,NZ,1648339693
2,Tomatlán,19.9333,-105.25,82.02,33,8,7.05,MX,1648339857
3,Esperance,-33.8667,121.9,66.04,85,100,13.91,AU,1648339815
4,Korla,41.7597,86.1469,43.41,53,79,3.06,CN,1648339750
5,Ushuaia,-54.8,-68.3,46.06,93,75,4.61,AR,1648339707
6,Vaini,-21.2,-175.2,78.58,67,64,9.69,TO,1648339687
7,Arraial do Cabo,-22.9661,-42.0278,77.13,90,10,11.36,BR,1648339744
8,Smithers,54.7804,-127.1743,39.52,81,100,4.61,CA,1648339735
9,Usinsk,65.9939,57.5281,7.65,90,100,18.99,RU,1648339858
10,Bredasdorp,-34.5322,20.0403,61.65,80,34,8.81,ZA,1648339696
11,Rikitea,-23.1203,-134.9692,79.47,70,0,15.03,PF,1648339694
12,Ahipara,-35.1667,173.1667,71.53,61,3,9.04,NZ,1648339714
13,Jieshi,22.8134,115.8257,68.95,89,82,22.95,CN,1648339858
14,Tasiilaq,65.6145,-37.6368,19.56,66,1,10.18,GL,1648339708
15,Mataura,-46.1927,168.8643,65.17,57,13,0.89,NZ,1648339684
16,Zhigansk,66.7697,123.3711,2.23,98,99,9.91,RU,1648339683
17,Muscat,23.6139,58.5922,78.64,55,1,8.66,OM,1648339859
18,Dubbo,-32.25,148.6167,64.53,82,100,9.22,AU,1648339859
19,Dunedin,-45.8742,170.5036,62.01,70,34,4.27,NZ,1648339749
20,Hong Kong,22.2855,114.1577,75.94,81,52,4.0,HK,1648339499
21,Hofn,64.2539,-15.2082,45.25,92,100,9.26,IS,1648339818
22,Torbay,47.6666,-52.7314,37.27,94,100,5.99,CA,1648339533
23,Polewali,-3.4324,119.3435,80.82,80,95,2.55,ID,1648339860
24,Jamestown,42.097,-79.2353,32.02,70,100,16.11,US,1648339691
25,Rānāpur,22.65,74.5333,79.27,21,5,4.99,IN,1648339860
26,Tres Arroyos,-38.3739,-60.2798,55.06,85,5,3.44,AR,1648339860
27,Hobyo,5.3505,48.5268,79.57,65,11,12.19,SO,1648339758
28,Butaritari,3.0707,172.7902,81.36,75,98,13.78,KI,1648339703
29,Hermanus,-34.4187,19.2345,62.8,81,57,11.41,ZA,1648339685
30,Ishimbay,53.4545,56.0415,23.9,89,99,11.43,RU,1648339861
31,Port Augusta,-32.5,137.7667,79.95,32,2,4.05,AU,1648339861
32,Port Hardy,50.6996,-127.4199,43.39,95,100,3.49,CA,1648339775
33,Albany,42.6001,-73.9662,42.33,87,96,1.99,US,1648339448
34,Najrān,17.4924,44.1277,64.94,30,1,5.48,SA,1648339710
35,Kaitangata,-46.2817,169.8464,62.04,65,22,3.04,NZ,1648339732
36,Guerrero Negro,27.9769,-114.0611,70.43,54,21,13.49,MX,1648339704
37,La Ronge,55.1001,-105.2842,3.2,74,7,4.05,CA,1648339576
38,Kapaa,22.0752,-159.319,82.38,61,0,18.41,US,1648339744
39,Punta Arenas,-53.15,-70.9167,46.51,93,100,3.44,CL,1648339687
40,Fengxian,34.7039,116.5872,47.79,33,100,13.0,CN,1648339862
41,Stepnyak,52.8339,70.7803,14.05,95,100,12.95,KZ,1648339863
42,Atuona,-9.8,-139.0333,79.48,78,30,14.92,PF,1648339690
43,Qaanaaq,77.484,-69.3632,-2.31,97,100,3.38,GL,1648339703
44,Portland,45.5234,-122.6762,66.9,67,100,8.05,US,1648339735
